ID,Yield
ID_F9XXEXN2ADR2,608.8237051019764
ID_SO3VW2X4QO93,398.88103131300124
ID_UKUQ7JM8E894,492.4393956362518
ID_QUISMWEZR2H4,291.77325155052233
ID_25JGI455VKCZ,528.3515537921023
ID_KQEAOXF3RPV6,380.85307128408056
ID_FSNZCPW9HTD2,1018.3988826800866
ID_U2TOPOA0T40S,354.76791992758416
ID_XVQLSUKOT04J,1227.7813286922262
ID_EAZAU6IW58PK,174.678578645278
ID_WI17R25TC2VU,322.42193460476034
ID_OPR9MJWG40U7,1607.7405313641898
ID_P9K9GAHC6FX6,614.2284621412912
ID_SCAOUCCTJ75Z,59.06037729414695
ID_MUP1OS8GZR5E,1564.4499131947348
ID_WVBSZ9VBC9HE,655.5362132888837
ID_9MGH1WIKFBNB,407.78404726840273
ID_3M2O3EPOM18C,2083.465414620755
ID_K9MOR4N1FWIB,536.7028822657975
ID_VJPUPMSQARO5,1260.1441493162133
ID_7WIMK3DXIU3Q,1193.2500612181036
ID_6QXVH0EUS60J,1164.4527857146177
ID_CA9GH6Q53A1Q,247.83505583406304
ID_94KO4EQ6TA3S,255.77283975690926
ID_2WH3AXUWRS2A,257.62063971386135
ID_LBS8TBC6QEF1,282.08111925133574
ID_Y3YARETW8RAP,1163.8041804257277
ID_BY9JJAIKBRGP,446.1100597470572
ID_0U5AM482W1DE,444.260776721002
ID_G0I28ORJC3OP,399.6015660956069
ID_Q34ED4EMSA3R,589.0508449484903
ID_LN3LXEG984XM,569.069719941779
ID_0JTIPPYRJND0,750.4551654220481
ID_2MRD9I2X8UXB,186.7985846780756
ID_KH1FHLUW2T4X,260.7875649369472
ID_RFM5MWSIU1JX,331.4559353295119
ID_IAH2UTMDVU8F,248.4454937479788
ID_9SNP46T1GSJI,734.6796703394763
ID_DSQ9ISYFW4DB,432.61218598646053
ID_B8XYLC3NM6XD,90.42835275497266
ID_HOG9LK4CTN8K,394.69775334722453
ID_L3RTRS1QIY6D,372.2773450448986
ID_03QW4RBYQEBK,376.0226112520302
ID_ZJSYN3ZHXK5K,1282.589457808415
ID_UPRM76SZ7IJJ,663.2116248060568
ID_YB866N9RY5TU,570.599673933918
ID_4H0KNHPKF9BK,158.74507001916254
ID_TOIT03A3WTTD,322.44965070700425
ID_4P7NKCB6LMJ5,71.12225747144481
ID_1TIMGZJLRLWF,608.9241978587452
ID_25E6065LQDON,676.9462056962224
ID_SOB9B3H12POE,814.6041702432518
ID_A8RF0GQGJF5H,894.3118170491673
ID_GT36LGF8SM8K,581.6190836369879
ID_E9OHGDA3U6DG,393.4119605474711
ID_HXWHLMRE99CE,1231.153495567706
ID_3VL9DLFRG5A3,322.705375573666
ID_OKPI3DR2ZQPJ,316.673141658525
ID_XZO6ECCAOC94,838.4029943584658
ID_4X2UWYR6RIE2,785.9205234903764
ID_1LVAHN6PZYBS,962.7073088769687
ID_HRAJFKTPCNWQ,2030.2180726551026
ID_TK4H5NRKHOE8,311.1864209468236
ID_9U0UBT1J8152,321.95208255301634
ID_3EUKVYT37JOP,263.0966952921438
ID_1499QWPPW755,570.0997853375833
ID_ULWP3J0G860C,389.60870056671376
ID_51FSB3P7RO7F,546.1374126115741
ID_FHMVP6OM4GDX,1723.0697247018493
ID_2OICAUFVUF5S,246.2911546908105
ID_ZGCFHIHAIC5U,403.4173793335036
ID_SR592R346POT,1271.120250546847
ID_IW7UUDAW8LI0,406.0252901275642
ID_UNWZCF6L3JHJ,341.7471367968595
ID_Z4FXX0BNPHCO,612.6201585492042
ID_T18YB26T1R72,416.5509839783496
ID_LXZWOINVI194,586.7442247812236
ID_QNQJS14C9JJR,2262.349724409427
ID_NTPIQUV3J2G6,742.4707655463312
ID_PVQOEEDTISZ0,74.82513079628838
ID_PNB65ASGG3U5,407.9129397771593
ID_KWPXATBZDX9T,482.20434513117755
ID_0G0F9TOR4IMI,1424.0149206611313
ID_FVLMABW5Y6X2,1121.3257660845286
ID_O2PL38IY50T5,1174.0321742614879
ID_CNG8Z00FPPMP,741.0238320458675
ID_641DSHBH8JAF,1048.510564225405
ID_Y14QXUKOFJ4H,317.89903244258943
ID_DRP3WZV4BNIE,585.4778479843474
ID_TMXV7UW39T80,251.53093060585766
ID_0L8O49SS6MQM,564.426311856969
ID_UGTG0XQELY2U,346.5501383527154
ID_0YZYA9AXL9Z2,283.07418323470625
